Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Ireland;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Israel;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italy;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [3048-EU-prostitution-laws.pdf (lastradainternational.org)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jamaica;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Japan;Yes [Sex work and the Law in Asia and the Pacific, UNDP, 2012 (https://www.undp.org/sites/g/files/zskgke326/files/publications/HIV-2012-SexWorkAndLaw.pdf).];;;;Yes [Sex work and the Law in Asia and the Pacific, UNDP, 2012 (https://www.undp.org/sites/g/files/zskgke326/files/publications/HIV-2012-SexWorkAndLaw.pdf).];;;;;;;;;;;Yes [Sex work and the Law in Asia and the Pacific, UNDP, 2012 (https://www.undp.org/sites/g/files/zskgke326/files/publications/HIV-2012-SexWorkAndLaw.pdf).];;;;;Yes [Sex work and the Law in Asia and the Pacific, UNDP, 2012 (https://www.undp.org/sites/g/files/zskgke326/files/publications/HIV-2012-SexWorkAndLaw.pdf).];;;;;;;;;;Yes [Sex work and the Law in Asia and the Pacific, UNDP, 2012 (https://www.undp.org/sites/g/files/zskgke326/files/publications/HIV-2012-SexWorkAndLaw.pdf).];;;;;;;;;;;;;;;;;;;;
Jordan;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;;;;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;;;;;;;;;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;;;;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;Yes [Hashemite Kingdom of Jordan. The Penal Code for the Year 1960. English translation prior to 2011 amendments. Article 310 (http://www.ahtnc.org.jo/sites/default/files/penal_code.pdf).];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;Yes [Kazakhstan. Criminal Code, Article 271 (https://adilet.zan.kz/eng/docs/K970000167_)];;;"Yes [Kazakhstan. Criminal Code Article 309	2014]";Yes [Kazakhstan. Criminal Code, Article 271 (https://adilet.zan.kz/eng/docs/K970000167_)];;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Kenya;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Kiribati;Yes [Kiribati. Penal Code Articles 136, 145, 146, 148, 167 (http://www.paclii.org/ki/legis/consol_act/pc66/)];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Kiribati. Penal Code Articles 136, 145, 146, 148, 167 (http://www.paclii.org/ki/legis/consol_act/pc66/)];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Kuwait;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;;;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file).]";"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file).]";"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;;;"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file).]";"Yes [Overview of trafficking and prostitution laws in the Middle East and Africa. London: Thomson Reuters Foundation; 2012 (https://www.trust.org/
contentAsset/raw-data/1035fde5-b945-49ed-8cd4- 166bc1ec156b/file). ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrgyzstan;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Lao People's Democratic Republic;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Latvia;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [3048-EU-prostitution-laws.pdf (lastradainternational.org)];;;;;;;;;;;;;;;;;;;;;;;;;Yes [3048-EU-prostitution-laws.pdf (lastradainternational.org)];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;
Lebanon;Yes [Lebanon. Penal Code. Article 523 (https://sherloc.unodc.org/cld/legisltaion/lbn/lebanon_penal_code/_/article_523-524/article_523-524.html?lng=en)];;;;;;;;;;;;;;Yes [Lebanon. Penal Code. Article 523 (https://sherloc.unodc.org/cld/legisltaion/lbn/lebanon_penal_code/_/article_523-524/article_523-524.html?lng=en)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lesotho;Yes [Lesotho. Penal Code Act (No. 6 of 2012), 2010. Article 55 (http://www.wipo.int/edocs/lexdocs/laws/en/ls/ls022en.pdf). ];;;Yes [Lesotho. Penal Code Act (No. 6 of 2012), 2010. Article 55 (http://www.wipo.int/edocs/lexdocs/laws/en/ls/ls022en.pdf). ];;;;Yes [Penal Code Act of Lesotho (No. 6 of 2012), 2010. Article 55 (http://www.wipo.int/edocs/lexdocs/laws/en/ls/ls022en.pdf)];;;;;;;;;;;;;;;;;;;;;Yes [Lesotho. Penal Code Act (No. 6 of 2012), 2010. Article 55 (http://www.wipo.int/edocs/lexdocs/laws/en/ls/ls022en.pdf). ];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Liberia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Libya;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Liechtenstein;Yes [Article 210 of the Criminal Code https://www.legislationline.org/download/id/9572/file/LICH_CC_eng.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Article 210 of the Criminal Code https://www.legislationline.org/download/id/9572/file/LICH_CC_eng.pdf];;;;;;;;;;;;;;;;;;;;
Lithuania;Yes [Article 307 of the Criminal Code https://www.legislationline.org/download/id/8272/file/Lithuania_CC_2000_am2017_en.pdf];;;;;Yes [Article 307 of the Criminal Code https://www.legislationline.org/download/id/8272/file/Lithuania_CC_2000_am2017_en.pdf];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luxembourg;Yes [Article 379bis of the Penal Code https://www.legislationline.org/download/id/8273/file/Luxembourg_Criminal_Code_am2018_fr.pdf ];;;;;Yes [Article 379bis of the Penal Code https://www.legislationline.org/download/id/8273/file/Luxembourg_Criminal_Code_am2018_fr.pdf ];;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madagascar;Yes [Madagascar. Penal Code Article 334bis sub-section 9 (http://www.justice.mg/wp-content/uploads/textes/1TEXTES%20NATIONAUX/DROIT%20PRIVE/les%20codes/CODE%20PENAL.pdf)];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [Madagascar. Penal Code Article 334bis sub-section 9 (http://www.justice.mg/wp-content/uploads/textes/1TEXTES%20NATIONAUX/DROIT%20PRIVE/les%20codes/CODE%20PENAL.pdf)];;;;;;;;;;;;;;;;;;;;;;;;Yes [Madagascar. Penal Code Article 334bis sub-section 9 (http://www.justice.mg/wp-content/uploads/textes/1TEXTES%20NATIONAUX/DROIT%20PRIVE/les%20codes/CODE%20PENAL.pdf)];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Malawi;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [Malawi. Penal Code Article 145 (https://malawilii.org/system/files/consolidatedlegislation/701/penal_code_pdf_14611.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [Malawi. Penal Code Article 145 (https://malawilii.org/system/files/consolidatedlegislation/701/penal_code_pdf_14611.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;
Malaysia;"Yes [Malaysia. Penal Code, Article 372 (http://www.agc.gov.my/agcportal/uploads/files/Publications/LOM/EN/Penal%20Code%20%5BAct%20574%5D2.
pdf); National Commitments and Policy Instrument, 2022.]";;;Yes [Malaysia. Penal Code Article 372 (http://www.agc.gov.my/agcportal/uploads/files/Publications/LOM/EN/Penal%20Code%20%5BAct%20574%5D2.pdf)];;"Yes [Malaysia. Penal Code, Article 372 (http://www.agc.gov.my/agcportal/uploads/files/Publications/LOM/EN/Penal%20Code%20%5BAct%20574%5D2.
pdf); National Commitments and Policy Instrument, 2022.]";Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];"Yes [Malaysia. Penal Code, Article 372 (http://www.agc.gov.my/agcportal/uploads/files/Publications/LOM/EN/Penal%20Code%20%5BAct%20574%5D2.
pdf); National Commitments and Policy Instrument, 2022.]";;;;;;;;;;;;;Yes [Malaysia. Penal Code Article 372 (http://www.agc.gov.my/agcportal/uploads/files/Publications/LOM/EN/Penal%20Code%20%5BAct%20574%5D2.pdf)];;"Yes [Malaysia. Penal Code, Article 372 (http://www.agc.gov.my/agcportal/uploads/files/Publications/LOM/EN/Penal%20Code%20%5BAct%20574%5D2.
pdf); National Commitments and Policy Instrument, 2022.]";;;;;;;;;;;;;;;;;;;;
Maldives;Yes [Maldives. Penal Code, Articles 620 and 621 (https://www.law.upenn.edu/live/files/4203-maldives-penal-code-2014). ];;;;Yes [Maldives. Penal Code, Articles 620 and 621 (https://www.law.upenn.edu/live/files/4203-maldives-penal-code-2014). ];Yes [Maldives. Penal Code, Articles 620 and 621 (https://www.law.upenn.edu/live/files/4203-maldives-penal-code-2014). ];;;;;;;;;Yes [Maldives. Penal Code, Articles 620 and 621 (https://www.law.upenn.edu/live/files/4203-maldives-penal-code-2014). ];Yes [Maldives. Penal Code, Articles 620 and 621 (https://www.law.upenn.edu/live/files/4203-maldives-penal-code-2014). ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mali;Yes [Mali. Penal Code Article 179 (https://wipolex.wipo.int/en/text/193676)];;;Yes [Mali. Penal Code Article 179 (https://wipolex.wipo.int/en/text/193676)];;Yes [Mali. Penal Code Article 179 (https://wipolex.wipo.int/en/text/193676)];;;;;;;;;;;;;;;;;;;;;;;Yes [Mali. Penal Code Article 179 (https://wipolex.wipo.int/en/text/193676)];;Yes [Mali. Penal Code Article 179 (https://wipolex.wipo.int/en/text/193676)];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [Mali. Penal Code Article 179 (https://wipolex.wipo.int/en/text/193676)];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Malta;No [Criminal Code https://www.legislationline.org/download/id/9619/file/Malta_CC.pdf];;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;Yes [Criminal Code https://www.legislationline.org/download/id/9619/file/Malta_CC.pdf];;;;;
Marshall Islands;Yes [Marshall Islands. Criminal Code 2011. Article 251 (http://rmiparliament.org/cms/images/LEGISLATION/PRINCIPAL/2011/2011-0059/CriminalCode2011_1.pdf)];;;;Yes [Marshall Islands. Criminal Code 2011. Article 251 (http://rmiparliament.org/cms/images/LEGISLATION/PRINCIPAL/2011/2011-0059/CriminalCode2011_1.pdf)];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;Yes [Marshall Islands. Criminal Code 2011. Article 251 (http://rmiparliament.org/cms/images/LEGISLATION/PRINCIPAL/2011/2011-0059/CriminalCode2011_1.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mauritania;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Mauritius;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Mexico;Yes [Codigo Penal para el Estado de Baja California, Articulo 267 (https://www.congresobc.gob.mx/Documentos/ProcesoParlamentario/Leyes/TOMO_V/20210226_CODPENAL.PDF)];;;;;Yes [Codigo Penal para el Estado de Baja California, Articulo 267 (https://www.congresobc.gob.mx/Documentos/ProcesoParlamentario/Leyes/TOMO_V/20210226_CODPENAL.PDF)];;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;
Micronesia (Federated States of);Yes [Federated States of Micronesia. Chuuk State Code. Title 12, Chapter 28 (http://fsmlaw.org/chuuk/code/title12/T12_CH28.htm).];;;;;;;;;;;;;;Yes [Federated States of Micronesia. Chuuk State Code. Title 12, Chapter 28 (http://fsmlaw.org/chuuk/code/title12/T12_CH28.htm).];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monaco;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;
Mongolia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [Mongolia. Criminal Code. Article 124.2 (https://www.warnathgroup.com/wp-content/uploads/2015/03/Mongolia-Criminal-Code.pdf)];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Montenegro;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morocco;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Mozambique;No [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;
Myanmar;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Namibia;Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];;;;Yes [Namibia. Combating of Immoral Practices. Act 21 of 1980 (https://www.lac.org.na/laws/annoSWA/CRIMINAL%20LAW%20AND%20PROCEDURE%20(1980)%20-%20Combating%20of%20Immoral%20Practices%20Act%2021%20of%201980%20(annotated).pdf)];Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];;;;;Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];;;;;;;;;;Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];;;;;Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];;;;;Yes [Namibia. Articles 2 and 5 of the Combating of Immoral Practices Act 1980 (https://commons.laws.africa/akn/na/act/1980/21/eng@2019-01-30.pdf). ];;;;;;;;;;
Nauru;Yes [Nauru. Crimes Act 2016. Section 107 (https://tbinternet.ohchr.org/Treaties/CEDAW/Shared%20Documents/NRU/INT_CEDAW_ARL_NRU_28029_E.pdf)];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;Yes [Nauru. Crimes Act 2016. Section 107 (https://tbinternet.ohchr.org/Treaties/CEDAW/Shared%20Documents/NRU/INT_CEDAW_ARL_NRU_28029_E.pdf)];;;;;;;;;;;;;;;;;;;;;
Nepal;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Netherlands;No [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;
New Zealand;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Nicaragua;Yes [Republic of Nicaragua. Penal Code amended by Law No. 641, 2007. Article 178 (https://www.poderjudicial.gob.ni/arc-pdf/CP_641.pdf).];;;Yes [Republic of Nicaragua. Penal Code amended by Law No. 641, 2007. Article 178 (https://www.poderjudicial.gob.ni/pjupload/noticia_reciente/CP_641.pdf).];;;;;;;;;;;;;;Yes [Republic of Nicaragua. Penal Code amended by Law No. 641, 2007. Article 178 (https://www.poderjudicial.gob.ni/pjupload/noticia_reciente/CP_641.pdf).];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
